Companyname;CVR;Telefonnumre
LaundryHouse ApS;11026109;
JK Tømrer Snedker & Renovering ApS;10974976;
Colosseum Ejendomme A/S;10945143;
JENS OTTO JOHANSEN;10918294;
L-R SOFTWARE A/S;10888700;
Lægerne Reventlow Wolfhagen & Bendtsen;10886546;
ETNA INVEST ApS;10873886;
Ejendommen Hvidtjørnvej 3 /Preben Lund Rasmussen;10867932;
INGE CHRISTIANSEN;10866979;
SAI-SCANDINAVIAN AVIONICS INTERNATIONAL ApS;10836034;
GÅRDEJER ERIK ENGHOLM POULSEN;10587808;
KIRKENS KORSHÆR;10535514;
PRAKTISERENDE LÆGERS ORGANISATION;10526280;
SAMFINANS A/S;10514142;
Udviklingsselskabet af 1. juli 2019 A/S;10509904;
BSM A/S;10484448;
BAGERMESTER BØRGE SIGVALD NIELSEN;10478448;
SKARE PROJEKTUDVIKLING A/S;10471184;
ApS SPKR NR. 1699;10468590;
INTERESSENTSKABET KØGEVEJ 129 A;10456770;
YAMAHA MUSIC DENMARK FILIAL AF YAMAHA MUSIC EUROPE GMBH TYSKLAND;10444934;
VASEBROEN A/S;10423988;
DANSK ELASTOMER A/S;10395984;
HABO DANMARK A/S;10367484;
A/S HYGÆAS FOND FOR ARBEJDERE OG FUNKTIONÆRER;11122604;
AC Motors A/S;11083374;
TØMRERFIRMAET F & L ApS;11054137;
Psykolog Kirsten Draiby;10802474;
Fionia Lægerne I/S;10332370;
HILLEBRAND GORI SCANDINAVIA A/S;10325285;
T.A.P. ApS;10306175;
FORENINGEN WOODSTOCK;10303877;
DEN INGWERSENSKE FAMILIEFOND;11672493;
ESTHER OG MARTIN DALLS FOND;11668275;
Danske Landskabsarkitekter;11664776;
KAREN OG NIELS MØLLER CHRISTENSENS FOND;11664075;
AALBORG STIFTSTIDENDES FOND;11661270;
GRÆNSEFONDEN;11660746;
Hempels Kulturfond (Hempel Glasmuseum);11659705;
HELEN OG EJNAR BJØRNOWS FOND;11658180;
GROSSERER ROBERT DELFERS MINDEFOND;11656285;
TH AARUPS MINDEFOND;11655238;
FONDEN AF 2/7 1984 TIL BEKÆMPELSE AF PARKINSONS SYGE;11654193;
Købmandsforeningen Danmarks Fond;11644031;
OSTEMESTEREN A/S;10209137;
LASERDISKEN v/Hans Kristian Pedersen;10194245;
DANIT-FONDEN;11640893;
OVERLÆGE DR. MED. EINAR GEERT- JØRGENSEN OG HUSTRUS LEGAT ADMINISTRATOR ULRIK IBFELT;11630405;
RUTH & CHR. MUFF IVERSENS FOND;11626300;
STENSBYGAARD FONDEN;11621740;
INGENIØR KAPTAJN AAGE NIELSENS FAMILIEFOND;11616593;
KROGAGERFONDEN;11614434;
Dansk Jødisk Museum - DJM S/I;11611443;
I.P.A.-FONDEN. NIBE - STIFTET AF FAMILIEN VALDEMAR SMITH;11606091;
BENT RASMUSSENS FAMILIEFOND;11592430;
DEN INGWERSENSKE FOND;11582702;
BENADA-FONDEN;11579949;
NØRAGER MEJERI A/S;11567673;
Medarbejderfonden Jorton;11672787;
NON NOBIS FONDEN;11679781;
Esbjerg Fiskeriforenings Hjælpe- Udviklings- og Krisefond;11679978;
HELLE MAU JENSENS OG DØTRES ALMENNYTTIGE FOND;11684785;
BOGENSHOLMLEJREN VED EBELTOFT VIG;11685072;
ANDERS PALSBOS MINDEFOND;11693539;
HAANDVÆRKERSPAREKASSENS FOND;11694896;
DIREKTØR SVEND HORNSYLDS LEGAT;11697003;
ØNH Speciallæge Birte Lassen;11526195;
LINKOGAS A.M.B.A.;11458378;
Pj Boligudlejning   v/Preben Jensen;11454070;
POUL PEDERSEN;11453031;
Kjellerup Plantage v/Jørgen Westergaard;11377734;
SCANTOOL GROUP ApS;11361498;
Købmandsforeningen Danmark;11302211;
Hårsaksen/Susanne Borne;11292194;
Jernved Kulturhus;11282296;
SKALS KRAFTVARMEVÆRK A.M.B.A.;11278612;
JENS JOHAN ANDERSEN. RÅDGIVENDE INGENIØRFIRMA A/S;11192548;
REVISIONSFIRMAET HARTVIG & AALUND ApS;11157203;
HORIZONS A/S;11153380;
SØNDERBYENS TØMRER- OG SNEDKERFORRETNING ApS;11125794;
LANGÅ ERHVERVS CENTER ApS;11125131;
I.K.E. ApS;10270642;
Alfred Goods Fond;11697798;
LEGATET AF 19 FEBRUAR 1886;11699006;
COLSTRUPS FOND;11699383;
EKJ FONDEN;11699472;
VILH. PACHTS KUNSTNERLEGAT;11705294;
K G FONDEN;10262380;
UVU-HUSENE PÅ FRYDENDALSVEJ 29 &8 (UNGE VELS UNGDOMSPENSION);10261899;
CFL CENTER FOR LEDELSE;10255112;
I/S Lyngby Hovedgade 54;10253888;
Dødsboet efter                    Hesteavler Henrik Hansen;10248027;
Dødsboet efter Allan Rønnow       Nielsen;10246725;
Dødsboet efter                    Entreprenør Jørgen Lassen;10245966;
Kerteminde Husflid;10244609;
JOC MECHANICAL & ELECTRICAL       SOLUTIONS LIMITED;10243564;
CES DK Limited;10241766;
BIS Coatings Limited;10240859;
Dødsboet efter Restaurant La      Fontaine;10239753;
Solar Radiant Sp. Z.o.o.;10238269;
Wiiplan Limited;10237815;
VILLE TOFT MØLLER;11828035;
Dødsboet efter Alstrup Planter    Søren Billeschou-Hansen;10237521;
Dyruc MB;10237262;
Liteck UAB;10237025;
ADVOKAT JOHNNY MÆHLISEN;10236274;
Asso.subsea Single Member S.A;10235855;
AMTOFT VANDVÆRK;10234484;
Dødsboet efter Ejnar Dissing;10234352;
Jara Group UAB;10232511;
Rodoverken AB;10232414;
Boet efter Jørgen Anderse;10227917;
MANUFAKTURHANDLER-FORENINGEN I KJØBENHAVNS ALMENE FOND;10214572;
WADDI ApS;10211034;
BORUP KEMI I/S;10619246;
J.C. STAGE A/S;10618401;
TRYK TEAM SVENDBORG A/S;10585643;
KLOVBORG MASKINFABRIK A/S;10559987;
LILLY OG HERBERT HANSENS FOND;10554500;
D.A.D.I. FONDEN;10547806;
Speciallæge Ole Dithmer;12125585;
SONTEX A/S;10303044;
FRANK SCHMIDT-HANSEN;10295688;
VIKAN A/S;10290147;
JNC A/S;10282446;
MASAI CLOTHING COMPANY ApS;10279488;
ULLA OG ERIK HOFF-CLAUSENS FAMILIEFOND;10193788;
H.C.ØRSTEDS KOLLEGIET;10188628;
BIRTHE JUSTESENS FOND;10183391;
PS Consulting;12429878;
HMM AGENCY (DENMARK) A/S;10163420;
HELMUTH NIELSEN & SØN ApS;10156068;
ELFIRMA N. H. JESPERSEN A/S;10154588;
Hotel Operations Copenhagen Airport A/S;10153271;
NORDISKE MEDIER A/S;10150825;
SKORSTENSFEJERMESTER René Dahl Nielsen ApS;10140811;
HOBRO RUSTFRI PROCESTEKNIK A/S;10138965;
EATON ELECTRIC DANMARK FILIAL AF EATON ELECTRIC OY FINLAND;10130352;
ANTON SVIDT CHRISTENSEN A/S;10130158;
BYGGEFIRMAET REGNBUEPARKEN I/S;10120748;
TELPARTNER A/S;10116422;
MIDT-VEST SERVICE CENTER A/S;10106613;
The Whole Company Food A/S;10101565;
X-DUST ApS;10094968;
G.R. BILER SKIVE A/S;10092752;
ARCELORMITTAL COMMERCIAL DENMARK ApS;10090067;
KIROPRAKTOR JØRGEN HOUE;12624034;
TØMRERFIRMAET LANGBAK ApS;10089352;
TANDLÆGECENTRET I/S;12638930;
L-Net A/S;10076951;
Seekings A/S;10066360;
BIOMÉRIEUX DENMARK ApS;10062462;
BIO SILKEBORG A/S;10061512;
Tandlægehuset Bjerringbro ApS;10057256;
VIBORG VARME PRODUKTION A/S;10046769;
ENERGI VIBORG ELTEKNIK A/S;10037263;
DATACOMFORT ApS;10035651;
KLINIK FOR FYSIOTERAPI NØRRE-SNEDE;12896549;
I/S Jessen Årslev ved Helge & Allan Jessen;12897499;
OLES GARTNERI V/OLE SKEEM NIELSEN;12897634;
Driftsselskab ApS;10026024;
OFFICE PARTNER ApS;10021162;
HILLERØD BORGERSTIFTELSE;12906471;
CBS CAFÉERNE ApS;10020867;
SERVICE-LØN ApS;10016452;
WINTEX AGRO ApS;10014786;
NEK A/S;12968140;
C. Reinhardt Parts A/S;10008522;
HERMOD EJENDOMME A/S;12976046;
FREDENSHUS;13056528;
ROYAL CANIN DANMARK A/S;13118477;
Hans-Henrik Mejer Larsen;13135207;
VISSING ASSET MANAGEMENT ApS;10003369;
PROMANA A/S;10001560;
KANTINEUDVALGET KOMMUNERNES LANDSFORENING;13179700;
Aaby-bageren;10668476;
DSM SAMARBEJDETS BRANCHEFORENING;10666503;
TANDLÆGEINTERESSENTSKABET I/S;10648807;
Fonden Kjærgårdsvej 30B Kollektivet Hunderup;10645891;
ANSATTE DYRLÆGERS ORGANISATION;10637082;
GULDSMED AF ESBJERG FREDERIK ERLANDSENS LEGAT BISPEGÅRDEN;11706207;
Danske Banks Haslevfond;11712541;
VANGGAARD FONDEN;11713645;
Midtjyllands Snedkerlaug;11714102;
NLS INVEST ApS;13328099;
LANDSDOMMER V GIESES LEGAT;11717144;
HAGBARD & ELSE ANDERSENS FAMILIEFOND;11723004;
IAC ACOUSTICS A/S;11733174;
VAL CONTROLS A/S;11774393;
FD SIKRING A/S;11777600;
HELM;11779603;
KM Beton & Kloak v/Kenth Mølgaard;11800343;
DEN SELVEJENDE INSTITUTION JOSEPHINEHØJ;11811132;
Traktørsted V.Tegners museum;11812937;
RANDERS JERNSTØBERI A/S;11820530;
Ædeludlejning;11872778;
STACO NORDIC A/S;11923909;
De Unges Almen Boligselskab;13497702;
STS Service;13583137;
HUSDYRAUKTIONERNE I BRØRUP;13584613;
Ungdomsskoleforeningen;11923976;
MISOS RESTAURATIONSANPARTSSELSKAB;11929087;
AFRY Denmark A/S;13590885;
Emballageindustriens Uddannelses- & Kompetencefond;11935397;
BAE SYSTEMS APPLIED INTELLIGENCE A/S;11939775;
INTERSERVICE;12006845;
KLAUS HANSEN;12011342;
SADOLIN GROSSIST CENTER. NÆSTVED. ApS;13642338;
FONDEN BRUUNSHÅB GAMLE PAPFABRIK;13662479;
Lægerne Sofie Rohde og Jesper Trier I/S;12078838;
